Waffle Fries (Half Tray),$45.00,Raleigh Soul Kitchen
Waffle Fries (Full Tray),$85.00,Raleigh Soul Kitchen
Honey Butter Cornbread (20 Pieces),$25.00,Raleigh Soul Kitchen
Honey Butter Cornbread (40 Pieces),$45.00,Raleigh Soul Kitchen
Peach Cobbler Egg Rolls (20 pieces),$75.00,Raleigh Soul Kitchen
Sweet Potato Pound Cake Muffins (12 muffins),$70.00,Raleigh Soul Kitchen
Red Velvet Cake Cookies (24 cookies),$65.00,Raleigh Soul Kitchen
Sweet Tea (Gallon),$12.00,Raleigh Soul Kitchen
Lemonade (Gallon),$15.00,Raleigh Soul Kitchen
Fried Black Eyed Peas,8.00,Relish Craft Kitchen & Bourbon Bar
Pimento Cheese & Crackers,11.00,Relish Craft Kitchen & Bourbon Bar
Salsa Flight,11.00,Relish Craft Kitchen & Bourbon Bar
Fried Pickles,12.50,Relish Craft Kitchen & Bourbon Bar
House Fried Potato Chips,11.00,Relish Craft Kitchen & Bourbon Bar
BBQ Nachos,16.00,Relish Craft Kitchen & Bourbon Bar
Cheese Fries,14.50,Relish Craft Kitchen & Bourbon Bar
Buffalo Wings,17.00,Relish Craft Kitchen & Bourbon Bar
Fried Green Tomatoes,12.00,Relish Craft Kitchen & Bourbon Bar
Pimento Cheese Fritters,10.50,Relish Craft Kitchen & Bourbon Bar
Fried Brussels Sprouts,10.00,Relish Craft Kitchen & Bourbon Bar
The Big Cheese,17.00,Relish Craft Kitchen & Bourbon Bar
The Italian,16.50,Relish Craft Kitchen & Bourbon Bar
The Parisian,17.00,Relish Craft Kitchen & Bourbon Bar
The Wisconsin,16.50,Relish Craft Kitchen & Bourbon Bar
The Carolinian,17.00,Relish Craft Kitchen & Bourbon Bar
The Mediterranean,17.00,Relish Craft Kitchen & Bourbon Bar
BL & GREEN T,17.00,Relish Craft Kitchen & Bourbon Bar
Pastrami Reuben,18.00,Relish Craft Kitchen & Bourbon Bar
Turkey Reuben,18.00,Relish Craft Kitchen & Bourbon Bar
Pulled Pork BBQ,17.50,Relish Craft Kitchen & Bourbon Bar
Tuna Melt,18.50,Relish Craft Kitchen & Bourbon Bar
Chicken Salad Sandwich,18.00,Relish Craft Kitchen & Bourbon Bar
California Turkey Wrap,18.00,Relish Craft Kitchen & Bourbon Bar
Buffalo Wrap,18.00,Relish Craft Kitchen & Bourbon Bar
Relish Shrimp Burger,19.00,Relish Craft Kitchen & Bourbon Bar
Black Bean Burger,17.00,Relish Craft Kitchen & Bourbon Bar
The Classic (Mac & Cheese Skillet),16.50,Relish Craft Kitchen & Bourbon Bar
Alfredo Mac,17.50,Relish Craft Kitchen & Bourbon Bar
Italian Mac,17.50,Relish Craft Kitchen & Bourbon Bar
Mexican Mac,18.00,Relish Craft Kitchen & Bourbon Bar
Cajun Mac,18.00,Relish Craft Kitchen & Bourbon Bar
French Mac,18.00,Relish Craft Kitchen & Bourbon Bar
Southern Mac,17.50,Relish Craft Kitchen & Bourbon Bar
Chili Mac,17.50,Relish Craft Kitchen & Bourbon Bar
Steak Fries,5.00,Relish Craft Kitchen & Bourbon Bar
Potato Chips,5.00,Relish Craft Kitchen & Bourbon Bar
Southern Slaw,4.50,Relish Craft Kitchen & Bourbon Bar
Broccoli Salad,5.50,Relish Craft Kitchen & Bourbon Bar
Mexican Slaw,4.50,Relish Craft Kitchen & Bourbon Bar
Cheese Grits,5.00,Relish Craft Kitchen & Bourbon Bar
Sliced Apples,5.50,Relish Craft Kitchen & Bourbon Bar
Carolina Caviar,5.50,Relish Craft Kitchen & Bourbon Bar
Bacon Cheese Fries,6.50,Relish Craft Kitchen & Bourbon Bar
Black Beans,4.50,Relish Craft Kitchen & Bourbon Bar
Sweet Potato Fries,6.50,Relish Craft Kitchen & Bourbon Bar
Fresh Green Beans,4.50,Relish Craft Kitchen & Bourbon Bar
"Broccoli, cauliflower & red pepper mix",4.50,Relish Craft Kitchen & Bourbon Bar
Fried green tomatoes (side),6.50,Relish Craft Kitchen & Bourbon Bar
Mashed Potatoes,5.00,Relish Craft Kitchen & Bourbon Bar
Side House Salad,7.50,Relish Craft Kitchen & Bourbon Bar
Side Goat Cheese Salad,7.50,Relish Craft Kitchen & Bourbon Bar
Side Panzanella Salad,7.50,Relish Craft Kitchen & Bourbon Bar
Shrimp & Grits,19.50,Relish Craft Kitchen & Bourbon Bar
Fish Tacos,17.50,Relish Craft Kitchen & Bourbon Bar
BBQ Pork Ribs (1/2 rack),19.00,Relish Craft Kitchen & Bourbon Bar
BBQ Pork Ribs (full rack),28.00,Relish Craft Kitchen & Bourbon Bar
Country Fried Steak Platter,19.50,Relish Craft Kitchen & Bourbon Bar
Grilled OR Blackened Salmon,20.00,Relish Craft Kitchen & Bourbon Bar
Fish N Chips,19.50,Relish Craft Kitchen & Bourbon Bar
Fried Shrimp,20.00,Relish Craft Kitchen & Bourbon Bar
Relish Chicken Grill,18.00,Relish Craft Kitchen & Bourbon Bar
BBQ Pork Burrito Mojado,18.00,Relish Craft Kitchen & Bourbon Bar
Veggies for Dinner,17.50,Relish Craft Kitchen & Bourbon Bar
Three Finger Platter,16.00,Relish Craft Kitchen & Bourbon Bar
Dressings,0.00,Relish Craft Kitchen & Bourbon Bar
Creamy Tomato Basil Soup,8.50,Relish Craft Kitchen & Bourbon Bar
Chili (soup),8.50,Relish Craft Kitchen & Bourbon Bar
Soup & Salad Combo,15.50,Relish Craft Kitchen & Bourbon Bar
Scoop Salad,16.50,Relish Craft Kitchen & Bourbon Bar
Panzanella,16.00,Relish Craft Kitchen & Bourbon Bar
Mexican Grilled Shrimp Salad,19.50,Relish Craft Kitchen & Bourbon Bar
Carolina “Caviar” Salad,16.50,Relish Craft Kitchen & Bourbon Bar
Cobb Salad,17.50,Relish Craft Kitchen & Bourbon Bar
Kim’s Goat Cheese Salad,16.50,Relish Craft Kitchen & Bourbon Bar
Strawberry Fields,16.50,Relish Craft Kitchen & Bourbon Bar
Tuna or Chicken Salad Salad,18.50,Relish Craft Kitchen & Bourbon Bar
"Add to Any Salad - Chicken (grilled, blackened, or fried)",5.00,Relish Craft Kitchen & Bourbon Bar
"Add to Any Salad - Cod (grilled, blackened, or fried)",5.00,Relish Craft Kitchen & Bourbon Bar
Add to Any Salad - Shrimp (grilled or blackened),6.50,Relish Craft Kitchen & Bourbon Bar
